,VARIABLE_NAME,CALCULATION,VALUE,STRVALUE,STATUSFLAGS,TIMESTAMP
0,RobotSimForPA/Global/R1_WeldingResistance,0,0.31420000000000003,,2228224,2025-08-11 14:20:01
1,RobotSimForPA/Global/R1_WeldingResistance,0,0.26077,,2228224,2025-08-11 14:20:02
2,RobotSimForPA/Global/R1_WeldingResistance,0,0.26077,,2228224,2025-08-11 14:20:03
3,RobotSimForPA/Global/R1_WeldingResistance,0,0.32115000000000005,,2228224,2025-08-11 14:20:04
4,RobotSimForPA/Global/R1_WeldingResistance,0,0.17377,,2228224,2025-08-11 14:20:05
5,RobotSimForPA/Global/R1_WeldingResistance,0,0.31767,,2228224,2025-08-11 14:20:06
6,RobotSimForPA/Global/R1_WeldingResistance,0,0.19693000000000002,,2228224,2025-08-11 14:20:07
7,RobotSimForPA/Global/R1_WeldingResistance,0,0.24324,,2228224,2025-08-11 14:20:08
8,RobotSimForPA/Global/R1_WeldingResistance,0,0.24324,,2228224,2025-08-11 14:20:09
9,RobotSimForPA/Global/R1_WeldingResistance,0,0.17262000000000002,,2228224,2025-08-11 14:20:10
10,RobotSimForPA/Global/R1_WeldingResistance,0,0.30543000000000003,,2228224,2025-08-11 14:20:11
11,RobotSimForPA/Global/R1_WeldingResistance,0,0.25664000000000003,,2228224,2025-08-11 14:20:12
12,RobotSimForPA/Global/R1_WeldingResistance,0,0.19941,,2228224,2025-08-11 14:20:13
13,RobotSimForPA/Global/R1_WeldingResistance,0,0.0,,2228224,2025-08-11 14:20:14
14,RobotSimForPA/Global/R1_WeldingResistance,0,0.0,,2228224,2025-08-11 14:20:15
15,RobotSimForPA/Global/R1_WeldingResistance,0,0.0,,2228224,2025-08-11 14:20:16
16,RobotSimForPA/Global/R1_WeldingResistance,0,0.0,,2228224,2025-08-11 14:20:17
17,RobotSimForPA/Global/R1_WeldingResistance,0,0.0,,2228224,2025-08-11 14:20:18
18,RobotSimForPA/Global/R1_WeldingResistance,0,0.0,,2228224,2025-08-11 14:20:19
19,RobotSimForPA/Global/R1_WeldingResistance,0,0.0,,2228224,2025-08-11 14:20:20
20,RobotSimForPA/Global/R1_WeldingResistance,0,0.0,,2228224,2025-08-11 14:20:21
21,RobotSimForPA/Global/R1_WeldingResistance,0,0.0,,2228224,2025-08-11 14:20:22
22,RobotSimForPA/Global/R1_WeldingResistance,0,0.0,,2228224,2025-08-11 14:20:23
23,RobotSimForPA/Global/R1_WeldingResistance,0,0.0,,2228224,2025-08-11 14:20:24
24,RobotSimForPA/Global/R1_WeldingResistance,0,0.0,,2228224,2025-08-11 14:20:25
25,RobotSimForPA/Global/R1_WeldingResistance,0,0.0,,2228224,2025-08-11 14:20:26
26,RobotSimForPA/Global/R1_WeldingResistance,0,0.0,,2228224,2025-08-11 14:20:27
27,RobotSimForPA/Global/R1_WeldingResistance,0,0.0,,2228224,2025-08-11 14:20:28
28,RobotSimForPA/Global/R1_WeldingResistance,0,0.0,,2228224,2025-08-11 14:20:29
29,RobotSimForPA/Global/R1_WeldingResistance,0,0.26408000000000004,,2228224,2025-08-11 14:20:30
30,RobotSimForPA/Global/R1_WeldingResistance,0,0.21016,,2228224,2025-08-11 14:20:31
31,RobotSimForPA/Global/R1_WeldingResistance,0,0.21016,,2228224,2025-08-11 14:20:32
32,RobotSimForPA/Global/R1_WeldingResistance,0,0.20685,,2228224,2025-08-11 14:20:33
33,RobotSimForPA/Global/R1_WeldingResistance,0,0.19594,,2228224,2025-08-11 14:20:34
34,RobotSimForPA/Global/R1_WeldingResistance,0,0.17659000000000002,,2228224,2025-08-11 14:20:35
